,region,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2,North East,12864,13445,15582,16050,17211,18533,19323,19993,21070,22864,24006,23993,24004,24159,24454,24845,25356,25562,25720,26531,27402,35459,32005,34713
3,North West,33337,35421,38752,41120,44250,46990,49655,52317,55519,59361,62913,63374,63466,64481,64819,66271,67607,68348,70996,72270,74946,99286,89887,96545
4,Yorkshire and The Humber,22179,23833,26667,28310,30313,32646,34666,36188,38057,40903,43728,44029,44739,45138,45474,46806,47694,48106,48496,49807,51544,68857,60746,65693
5,East Midlands,16699,17994,20239,21431,23662,25645,27402,28473,30251,32711,35145,35371,35557,36284,37031,38218,38612,39116,39765,41200,43065,58315,51027,55393
6,West Midlands,22687,24191,27044,28727,31442,33925,36380,38050,40414,43725,46534,46629,47223,47827,48245,50275,50165,51461,52291,54934,56972,75978,68272,73359
7,East of England,20197,21900,23988,25962,28718,31031,33407,34904,37060,40537,44721,45181,44674,45195,46591,48343,49516,49702,51537,54150,56816,78191,67699,72359
8,London,36869,38996,43717,48314,53978,56747,60600,63015,67414,70920,81344,81962,82076,82529,83336,84516,87667,88611,90933,93127,98297,138051,120707,128438
9,South East,30690,32596,35835,38870,42730,46379,48937,51053,54438,59470,63938,64815,64453,65712,67804,69334,71135,73472,75332,79136,82150,113203,98801,105467
10,South West,20584,22408,24560,25376,28192,30496,32242,33459,35717,38514,41181,41416,42013,42738,43930,45262,45924,46954,47926,49682,51939,70608,61796,66248
11,England,216109,230783,256383,274157,300495,322391,342612,357451,379938,409004,443510,446771,448205,454061,461683,473869,483676,491335,502995,520836,543132,737949,650941,698215
12,Wales,15105,16106,17485,19007,20669,21886,23263,24461,25469,26999,28913,29020,29902,29554,30089,30609,30944,31378,32406,33339,34328,44897,41402,43739
13,Scotland,27405,28976,31798,33797,36866,38345,41889,43940,46485,48379,51656,51987,53104,53959,54063,54932,56193,57374,58638,60694,63067,80773,75824,78589
14,Northern Ireland,10089,11224,11832,12601,13429,14267,15022,15605,16781,17721,18872,18983,19384,19645,19916,20327,20200,20473,20820,21787,22749,28990,26733,27612
15,United Kingdom,268709,287088,317498,339563,371459,396890,422785,441458,468672,502105,542949,546762,550594,557218,565752,579735,591015,600561,614860,636656,663275,892609,794899,848156
