,ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3,ITL1,TLC,North East,12744,13071,13525,14139,15041,15876,17132,17859,18722,19134,19520,19193,19586,20089,20586,20917,21486,22210,22561,23191,23635,24553,22786,24686,26507,28583
13,ITL1,TLD,North West,14616,15398,15815,16719,17470,18364,19333,20184,21160,21884,22233,21852,22455,22763,23345,24085,24930,25704,26468,27540,28075,29160,28090,30239,33180,35635
39,ITL1,TLE,Yorkshire and The Humber,14211,14729,15241,15891,16674,17705,18613,19354,20179,21160,21248,20574,20869,21333,21738,22267,22925,23811,24259,25340,26040,26856,25469,28298,30631,32625
57,ITL1,TLF,East Midlands,14718,15126,15644,16192,16735,17454,18165,18950,19808,20481,21036,20183,20964,21341,21945,22699,23437,23960,24428,25104,26025,26783,25709,27729,29610,31446
72,ITL1,TLG,West Midlands,14967,15492,15979,16511,17044,17825,18642,19337,19913,20419,20864,19976,20707,21365,21934,22783,23671,24333,25215,26260,26942,27409,25668,27873,29921,32077
90,ITL1,TLH,East,16270,16867,17651,18463,19064,20114,20711,21655,22543,23227,23776,22839,23201,23380,23888,24694,25755,26489,27367,28969,29412,30432,28473,30841,33120,35442
116,ITL1,TLI,London,27715,28902,30800,31340,32262,34028,35543,37825,39724,42572,42843,41235,42619,43784,44837,46558,49077,50157,52691,54346,56004,57357,52828,57518,64495,69077
143,ITL1,TLJ,South East,19033,19834,20726,21422,22287,23237,23931,24919,25824,26753,27764,26903,27639,28374,29108,29952,30931,31810,32375,33428,34393,36052,34848,36362,38821,41319
170,ITL1,TLK,South West,15403,16094,16727,17489,18142,19013,19964,20698,21532,22216,22998,22400,23206,23535,24105,24680,25756,26062,26746,27907,28588,29608,27914,30917,33404,35731
189,ITL1,TLL,Wales,12790,13131,13709,14135,14690,15566,16388,17094,17898,18477,18513,18067,18649,19442,20011,20776,21335,21979,22853,23657,24495,25507,23883,25355,27451,29316
205,ITL1,TLM,Scotland,15406,15758,16455,17370,18066,19101,20282,21387,22735,23540,24341,23906,24076,24713,25408,26474,27602,27797,28119,29350,29868,30932,28996,31330,34560,37192
230,ITL1,TLN,Northern Ireland,13282,14058,15086,15692,16127,17306,18032,18949,19923,20532,20528,19875,19857,20425,21078,21654,22174,22830,23966,24829,25260,26376,25040,27760,30127,32944
