,ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
3,ITL1,TLC,North East,19454,19848,20409,21343,22274,23056,24332,24532,25123,25029,24671,23717,23902,24108,24529,24434,24844,25703,25570,26033,26278,26756,23539,25762,26506,26678
13,ITL1,TLD,North West,23555,24461,24964,25998,26629,27360,28224,28685,29394,29751,29317,28185,28595,28390,28781,29126,29773,30462,30681,31461,31600,32102,29217,31689,33180,33170
39,ITL1,TLE,Yorkshire and The Humber,23300,23935,24609,25406,26076,27047,27702,27887,28307,28939,28049,26588,26450,26630,26823,26978,27399,28243,28343,29054,29389,29556,26567,29709,30631,30396
57,ITL1,TLF,East Midlands,24712,25176,25832,26430,26636,27236,27786,28144,28836,28790,28547,26834,27448,27543,27767,28190,28580,28839,28896,29075,29518,29648,26892,29179,29610,29298
72,ITL1,TLG,West Midlands,24535,25215,25880,26551,26695,27270,27784,27934,28177,28093,27838,26107,26638,27150,27334,27754,28476,29045,29406,30147,30349,30079,26796,29310,29921,29896
90,ITL1,TLH,East,25739,26430,27642,28440,28672,29538,29772,30504,30970,31235,31022,29349,29535,29311,29442,29886,30815,31257,31556,32887,32773,33205,29534,32076,33120,33055
116,ITL1,TLI,London,45281,46355,49320,49228,49685,51542,52729,54913,56302,59577,58521,54279,55259,55993,56699,57677,59389,59633,61254,62144,62943,63242,55308,60015,64495,64091
143,ITL1,TLJ,South East,29143,30015,31432,31928,32493,33101,33308,33969,34403,34992,35211,33639,34670,35025,35450,35754,36474,37218,36991,37649,38133,39108,36161,37936,38821,38433
170,ITL1,TLK,South West,26474,27185,27947,28786,29098,29644,30185,30437,30734,30977,30962,29539,30336,30207,30336,30389,31281,31236,31382,32230,32364,32811,29411,32546,33404,33217
189,ITL1,TLL,Wales,21033,21424,22222,22818,23166,23879,24430,24667,25323,25358,24569,23656,23878,24358,24645,25096,25447,26076,26648,27126,27812,28211,25225,26772,27451,27330
205,ITL1,TLM,Scotland,25282,25675,26601,27648,28095,28944,29793,30694,31576,32071,32238,30960,30890,31057,31389,32046,32893,33113,33000,33870,33853,34251,30273,32890,34560,34534
230,ITL1,TLN,Northern Ireland,23665,24470,25961,26647,26759,27820,28283,29031,29590,29320,28309,26817,26275,26603,26878,27092,27379,27659,28496,28932,28852,29425,26119,29190,30127,30606
